PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
CG1SA,rnb1k2r/1p2Ppbp/p5p1/q5B1/2P1n3/2N2N2/PP3PPP/R2QKB1R b KQkq - 0 9,e4c3 d1d8 a5d8 e7d8q,952,98,93,596,advancedPawn fork mate mateIn2 opening promotion short,https://lichess.org/Gma1SaKn/black#18,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
CGGTp,rn1q1rk1/ppp3bp/6p1/5b2/2P2p2/2N2N2/PP2BPPP/R2Q1RK1 w - - 0 13,f3h4 d8h4 d1d5 g8h8,1561,75,96,4343,crushing defensiveMove hangingPiece opening short,https://lichess.org/UR8yKulW#25,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
CGYyM,rnbq1r2/pp2ppbk/3p1npp/2p5/2PPPB1P/2N5/PP1Q1PP1/R3KBNR w KQ - 0 9,g1f3 c5d4 f3d4 e7e5,1889,74,95,3866,advantage opening short,https://lichess.org/dAdxFi5V#17,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
CIFrG,r2qr1k1/ppp2ppp/2n2b2/3p4/6b1/P1NP1N2/1PP1BPPP/1R1Q1RK1 b - - 0 11,c6d4 f3d4 f6d4 e2g4,1066,79,96,684,advantage discoveredAttack opening short,https://lichess.org/An4lvB0R/black#22,French_Defense French_Defense_Kings_Indian_Attack
CIfP6,r1b1k2r/pppq1p2/4P1p1/4bnBp/2P5/2N4P/PP3PP1/R2QKB1R b KQkq - 0 14,d7e6 d1d8,768,80,96,349,mate mateIn1 oneMove opening,https://lichess.org/acSBViBU/black#28,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
CQezm,r3k1nr/pppq2pp/3b2n1/3p1b2/3Pp3/1NP3PP/PP2PQB1/RNB2RK1 b kq - 0 13,h7h5 f2f5 d7f5 f1f5,1570,75,82,316,crushing opening short,https://lichess.org/jjKsla4j/black#26,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
CSQeN,r2qkb1r/p2b1ppp/4pn2/1Qp5/3n4/5NP1/PP2PPBP/RNB2RK1 w kq - 0 10,b5c4 d7b5 c4b5 d4b5,1434,75,83,259,crushing opening short,https://lichess.org/UcgaHWgU#19,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
CU2Ml,rn1qk1nr/ppp2pp1/4p2p/2bp1b2/6P1/2PP1N2/PP2PPBP/RNBQK2R b KQkq - 0 6,f5g4 d1a4 c7c6 a4g4,1551,76,83,1721,advantage fork opening short,https://lichess.org/4k7241Ek/black#12,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
CUMLB,rn1q1rk1/ppp3b1/3p2pp/3P1b1n/2P1p3/2NBBN2/PP3PPP/R2QK2R w KQ - 0 12,d3e4 g7c3 b2c3 f5e4,1441,74,91,2521,advantage intermezzo opening short,https://lichess.org/JQzTkqzb#23,Kings_Indian_Defense Kings_Indian_Defense_Zinnowitz_Variation
CVDkD,rnb1k2r/p1p2ppp/1p2pn2/3q4/1b6/2NPB2P/PPP1BPP1/R2QK1NR b KQkq - 1 7,d5g2 e2f3 g2g6 f3a8,1225,76,93,2191,crushing fork interference opening short trappedPiece,https://lichess.org/K9GHGxZz/black#14,French_Defense French_Defense_Kings_Indian_Attack
CWosj,rn1q1rk1/pp4bp/3p2p1/3Ppp2/4P1b1/4BN2/PP2BPPP/2RQK2R w K - 0 12,f3d2 g4e2 d1e2 f5f4,1636,75,95,6638,advantage opening short,https://lichess.org/qRRkcJMe#23,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
CXQLQ,rnbq1rk1/pp2ppb1/3p1npp/2p5/2PPPB2/2N2N2/PP3PPP/R2QKB1R w KQ - 0 8,d1d2 c5d4 f3d4 e7e5,1946,74,94,9239,advantage opening short,https://lichess.org/UF8d1zJE#15,Kings_Indian_Defense Kings_Indian_Defense_Zinnowitz_Variation
Cfzb2,r2qkb1r/pp2pppp/2b2n2/2p1N3/2Q5/6P1/PP1PPPBP/R1B2RK1 b kq - 2 10,c6g2 c4f7,1216,76,90,786,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/ZFlGaTTO/black#20,Kings_Indian_Attack Kings_Indian_Attack_French_Variation
ClJX1,rnbq1rk1/ppp2pbp/3p2p1/4n3/1PP5/5NP1/P3PPBP/RNBQ1RK1 w - - 0 9,c1b2 e5f3 e2f3 g7b2,1007,81,84,384,advantage discoveredAttack opening short,https://lichess.org/7R9sOb5x#17,Indian_Defense Indian_Defense_Kings_Indian_Variation
CrVYS,r1b1qrk1/ppp3b1/3p2pp/3Pp1Bn/1PP1B2N/7P/P4PP1/R2Q1RK1 b - - 1 15,h6g5 e4g6 e8e7 d1h5,1839,75,91,1312,advantage capturingDefender opening short,https://lichess.org/ILwTzP9e/black#30,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
CtFv3,r1bq1rk1/1pp3bp/3p4/p1n1np2/2PN4/6PP/PP3PB1/R1BQNRK1 b - - 0 16,e5c4 g2d5 g8h8 d5c4,1445,74,92,212,advantage fork opening short,https://lichess.org/9yiF4XqE/black#32,Kings_Indian_Defense Kings_Indian_Defense_Fianchetto_Variation
CuT2j,rn1qr1k1/pp3pp1/3b3p/2pN4/2Ppn3/1P6/P1PBBPPP/R2Q1RK1 w - - 7 18,f1e1 d6h2 g1h2 d8h4 h2g1 h4f2,1937,77,88,713,attraction crushing kingsideAttack long opening sacrifice,https://lichess.org/lSkFRcJS#35,French_Defense French_Defense_Kings_Indian_Attack
Cuaj3,r2q1rk1/pbpnppbp/1p3np1/8/4P3/2P2NP1/PPQN1PBP/R1B2RK1 b - - 0 10,f6e4 d2e4,1011,83,88,673,advantage oneMove opening,https://lichess.org/kVXzCmex/black#20,Kings_Indian_Attack Kings_Indian_Attack_Double_Fianchetto
